Reviewer Username,Date of review,Comment
_ezekiel_3112,2023-11-17 13:57:16,"Performance:it's better than good. Very light compared to the g502 I used to use.

It's all amazing but one thing that I didn't get is the Logitech sticker.. Quite disappointed but it's okay that's not the main part of the product. Overall it is a great original product. Thanks to the owner. This is a great seller 👍 keep up the good work seller 💪🙂."
bakripie,2023-08-23 13:58:39,"Performance:What do you expect from one of the best mouse in the entire world? Superb

Packaging is perfect. Finally got red colour. The only store that have red gpro x with the same price as other. Ordered yesterday. Got it today. Seller really good. I love you. Muah. Pegi kedai beli roti, roti tutup shah 8tat."
unknownzna,2023-05-17 01:05:17,"Performance:Supernicerr

Seller buat kerja laju, abg2 j&t hantar barang dengan heylok, kotak takde kemek langsung. First time beli mouse harge rim moto, tapi serius berbaloi. Dia punya lightweight mcm terapung je mouse, memang kena biasakan balik, claw grip/palm grip dua2 sesuai. Connection/ battery xusah risau, memang padu. Cuma kureng mouse ni takde dpi button / micro usb. Hrp2 mouse ni boleh pakai lame, apepun nice & RECOMMENDED!"
hilmanjoe,2021-01-16 13:43:53,Barang di wrap dgn bagus .. item sealed and 100% original . Fast respond from seller .. Very good mouse smooth and suitable for claw grip hand .. also fast charging from 50% to 100% only take 1 hour and half and very solid mouse even it feel lighter .. best wireless mouse ive been use
k*****b,2022-11-30 23:22:09,Order selasa..rabu dh smpai penghantaran sngt laju..brg smpai dlm keadaan elok xde damage..performance ok.. gpx superlight xleh nk kata ap la..org yg beli dia tau hehe
c*****g,2022-11-15 12:35:02,"Performance:Lightweight & sleek

Was really easy to connect & feels really nice wireless. Not exactly small in size for my tiny hands but it’s still has a good grip when inserted the grip stickers"
o*****w,2021-01-16 22:21:17,"About the shop: 
Answered my questions within short time. Shipped the product on the day I ordered. Good packaging. Box (and product itself) condition 10/10.

Mouse:
The shape is perfect for my 19x9cm hand. (Fingertip 40cm/360 in shooter games). Removed bottom plate to get 77g. Middle hump is nice."
m*****e,2021-09-12 12:21:34,"Item received ok. Bubble wrapped but packed in a big shipping bag. Um.. ok. 😅

Love the mouse tho, battery lasted for almost 1 week with just a single charge (but u gotta turn off the rgb lights on the mouse). I have small hands and the mouse fits ok just for me."
g*****n,2022-12-22 11:03:56,"Performance:Excellent

Seller shipped quickly and product arrived in perfect condition with no dents on the box. Original product , highly recommended.

Simple design and top selling mouse for a good reason. Wireless with almost zero latency. Light and great to use for prolonged gaming sessions especially for fps games."
n*****i,2020-12-03 14:38:57,"Trusted seller! Good service the seller is very nice reply very fast and polite! Very fastt, ordered yesterday and today i got the package in a good condition. "
